iter	Passed	Remaining
0	3	1827
1	8	2479
2	13	2600
3	18	2714
4	23	2732
5	28	2733
6	33	2736
7	37	2743
8	42	2740
9	47	2739
10	52	2742
11	56	2722
12	61	2707
13	66	2716
14	71	2720
15	76	2708
16	80	2698
17	85	2687
18	89	2675
19	94	2663
20	98	2655
21	103	2646
22	107	2639
23	112	2633
24	117	2631
25	121	2623
26	126	2618
27	131	2613
28	135	2602
29	139	2593
30	144	2587
31	149	2594
32	154	2592
33	159	2584
34	164	2582
35	168	2574
36	173	2568
37	177	2563
38	182	2560
39	187	2559
40	192	2552
41	196	2549
42	201	2544
43	205	2535
44	210	2527
45	214	2522
46	219	2516
47	223	2508
48	228	2501
49	232	2494
50	237	2487
51	241	2482
52	246	2476
53	250	2469
54	255	2463
55	259	2456
56	264	2452
57	268	2445
58	273	2440
59	278	2440
60	283	2442
61	288	2438
62	293	2438
63	298	2431
64	302	2427
65	307	2422
66	311	2416
67	316	2411
68	320	2404
69	325	2399
70	329	2393
71	334	2387
72	339	2382
73	343	2378
74	348	2372
75	352	2367
76	357	2362
77	362	2359
78	366	2353
79	371	2347
80	376	2346
81	381	2342
82	385	2336
83	389	2330
84	394	2324
85	398	2319
86	403	2314
87	408	2310
88	412	2304
89	417	2298
90	421	2292
91	425	2287
92	430	2281
93	435	2276
94	439	2273
95	444	2268
96	449	2267
97	455	2265
98	460	2266
99	466	2266
100	471	2262
101	476	2262
102	483	2265
103	489	2268
104	495	2269
105	501	2272
106	507	2273
107	512	2270
108	518	2267
109	523	2263
110	528	2262
111	533	2258
112	538	2254
113	543	2248
114	547	2242
115	552	2236
116	556	2230
117	560	2224
118	565	2218
119	569	2212
120	574	2206
121	578	2201
122	583	2195
123	587	2190
124	592	2184
125	596	2178
126	601	2172
127	605	2167
128	610	2162
129	614	2156
130	619	2151
131	624	2146
132	628	2140
133	633	2135
134	637	2130
135	642	2124
136	646	2119
137	651	2113
138	655	2108
139	660	2103
140	664	2097
141	669	2093
142	674	2089
143	678	2083
144	683	2078
145	687	2072
146	692	2066
147	696	2061
148	701	2056
149	705	2050
150	709	2044
151	714	2039
152	718	2033
153	723	2028
154	727	2022
155	731	2017
156	736	2012
157	740	2006
158	745	2001
159	749	1996
160	754	1990
161	758	1985
162	762	1979
163	767	1974
164	771	1969
165	776	1963
166	780	1959
167	785	1953
168	789	1948
169	794	1943
170	798	1937
171	803	1932
172	807	1927
173	812	1922
174	816	1917
175	820	1912
176	825	1907
177	830	1902
178	834	1897
179	839	1892
180	843	1887
181	848	1883
182	852	1878
183	857	1873
184	861	1867
185	866	1862
186	870	1857
187	875	1852
188	879	1847
189	883	1842
190	888	1837
191	892	1832
192	897	1827
193	901	1821
194	905	1816
195	910	1811
196	914	1806
197	919	1801
198	923	1795
199	927	1790
200	932	1785
201	936	1780
202	940	1775
203	945	1770
204	949	1764
205	953	1759
206	958	1754
207	962	1749
208	967	1744
209	971	1739
210	975	1734
211	980	1729
212	984	1724
213	989	1719
214	993	1714
215	997	1709
216	1002	1704
217	1006	1699
218	1010	1694
219	1015	1689
220	1020	1684
221	1025	1681
222	1030	1676
223	1034	1671
224	1039	1667
225	1043	1662
226	1048	1658
227	1052	1653
228	1057	1648
229	1061	1643
230	1066	1639
231	1071	1635
232	1076	1630
233	1080	1625
234	1085	1620
235	1090	1616
236	1094	1612
237	1099	1607
238	1104	1603
239	1109	1599
240	1113	1594
241	1118	1589
242	1123	1585
243	1127	1580
244	1132	1575
245	1137	1571
246	1142	1567
247	1146	1562
248	1151	1558
249	1156	1554
250	1161	1549
251	1165	1544
252	1170	1540
253	1175	1536
254	1180	1532
255	1185	1528
256	1190	1523
257	1195	1519
258	1203	1519
259	1210	1518
260	1216	1514
261	1221	1510
262	1225	1505
263	1230	1500
264	1234	1495
265	1239	1490
266	1243	1485
267	1247	1480
268	1252	1475
269	1257	1471
270	1261	1466
271	1266	1462
272	1271	1457
273	1276	1453
274	1280	1448
275	1285	1443
276	1289	1438
277	1294	1433
278	1298	1429
279	1303	1424
280	1307	1419
281	1312	1414
282	1316	1409
283	1320	1404
284	1325	1399
285	1329	1394
286	1334	1390
287	1338	1385
288	1343	1380
289	1347	1375
